Input,Output,Id
"Experiment section lacks lot of details. what value you are going to predict in survival prediction ? Did you predict if the patient can survival more than 2 years ? Also, how many radiomics features are extracted and did you use feature selection ?",ify,czzjj7Pbyw
"I think the title 4.1 is wrong. It states ""does implicit differentiation stabilize the training of slot attention?"", but then talks about performance improvements. On the other hand, section 4.2 talks about training stabilization, namely it's first sentence is: ""To further understand the benefits of implicit differentiation, we then ask whether it stabilizes the training of slot attention without the need for optimization tricks like learning rate decay, gradient clipping, and learning warmup.""",ify,r8QlT7O9wWc
Figure 4 is unclear what the shaded lines mean.,ify,r8QlT7O9wWc
The paper is extremely unclear and was hard to read.,2,B1eXpM0L6m
"The narrative is too casual, a lot of handwaving is made. The notation is very informal and inconsistent. I had to second guess multiple times until deciphering what could have possibly been said.",2,B1eXpM0L6m
"Based on this only, I do not deem this work ready for sharing.",ify,B1eXpM0L6m
"Some issues with Section 3: the notions of ""task"" needs a more formal definition, and then subtasks, and union of tasks, priors on tasks, etc. it's all too vague.",ify,B1eXpM0L6m
"Figure 2 is very badly explained (I believe the green curve is the number of classes represented by one element or more, while the red curve is the number of classes represented by 5 elements or more, but I had to figure it out on my own).",2,B1eXpM0L6m
"The whole notation (e.g. ""topk"", indexing that is not subscripted, non-math mode math) is bad.",2,B1eXpM0L6m
"It's totally disingenuous to say ""this is a great boost in speed"" (end of Section 5.2) by saying it took 30 epochs for the non-curriculum version to get to its performance, when within 4 epochs (just like the curriculum version) it was at its final performance basically.",2,B1eXpM0L6m
"However, the gradual introduction of badly classified samples in later epochs, while essentially replacing their features with similarly classified samples for earlier epochs, has somehow regularized the training. The authors do not discuss this at all, and I think draw the wrong conclusion from the results.",2,B1eXpM0L6m
"all abbreviations (OS, T1ce) should be introduced, not everyone has the same background in the clinic or in MRI to understand this",2,NQzFKWwARw
"why are there so different balances in training, validation and testing data? why were they not all divided in the same way in terms of cases?",2,NQzFKWwARw
"However, this is quite an outdated baseline.",ify,aFs-QMp8L0
The authors *ignore at least 2 recent strong baselines*,2,aFs-QMp8L0
"This indicates that even **simple RL with image augmentation can outperform the complicated bilevel optimization and auxiliary loss in AARL**, which greatly undermines this paper's contribution.",ify,aFs-QMp8L0
"The ""specialized evaluation method"" has been established by previous work (e.g., MolGAN) and it's not hard to run at all.",ify,rJxIe2_Z5E
"The quality and clarity of the writing is problematic. Besides the numerous spelling mistakes, the imprecise language often confuses the reader.",2,-pKvzWAHsYf
I'm not sure what static means in this case?,ify,-pKvzWAHsYf
"I'm not sure what the authors try to communicate? Besides the fact that general reinforcement learning feels undefined, the described approach uses tricks specific to FPS, like the statistical map provided as extra features to the agent's network or the rules defined in the 2 RGPS losses.",ify,-pKvzWAHsYf
"As such, particular attention to providing all the required information to replicate the work has to be initiated. This aspect of the work is deeply lacking.",ify,-pKvzWAHsYf
"The authors don't explain: how they applied Policy Distillation, how the prioritized self-play has been implemented and put in action, what's the training dynamic (how long each stage lasts), where do the baselines come from (were they re-implemented or available as part of the competition?), etc.
	These missing bits of information would make the replication of the results nearly impossible to achieve and don't help the reader understand how the approach fully works and how it was implemented.",2,-pKvzWAHsYf
I would encourage the authors to make a few steps in this direction as the lack of transparency on their method is puzzling.,ify,-pKvzWAHsYf
"I think this part is not relevant, and in any case might be included in the supplementary material. ",ify,cEdTt9ECmjL
"The modification of the method seems to be of importance, given the complexity discussed (even though it might not work fast for some vectors), but I think the presentation should be dramatically improved.",ify,cEdTt9ECmjL
"The texts is repetitive, the toy example in Fig.1 is not explained or motivated at all, and there are some technical parts with details or omissions. For instance, in line 26 it should say that the vector to be projected is $y$; problem (1) should be actually argmin; on the line 30, the convexity of $\Delta_k$ has to be used, otherwise the statement is false, Newton's algorithm doesn't have a stopping criteria, it runs for a fixed number $T$ of iterations, but $T$ is not an input, and is not discussed as it should.",2,cEdTt9ECmjL
Another positive aspect is that evaluation methodology is quite sound and includes comparison to many recent algorithms for AL with neural networks.,ideal,BJx-6PRtnQ
"However, I have a few concerns regarding the methodology.",ideal,BJx-6PRtnQ
I believe that labels contain a lot of useful information for making an informed selection decision and ignoring it when it is available is not rational.,ify,BJx-6PRtnQ
It lacks novelty and the improvement is marginal.,ify,SklcjZbP5r
"This paper is not novel, a lot of existing work already tested this idea and showed that it already works.",2,BjKUyY7YDbn
The selected benchmarks are outdated.,2,BjKUyY7YDbn
"Going back to the first point, the methods selected for comparison with the proposed approach are also outdated.",2,BjKUyY7YDbn
"The paper is poorly written, hard to read and the ideas are not clearly stated.",2,BjKUyY7YDbn
"Overall, the writing also contains many grammatical errors and confusing at places.",2,SJlBb0_QYB
Here's just a few examples,ify,SJlBb0_QYB
"Given all these existing methods (I am sure there are many more), it is unclear to me why the estimator proposed in this paper should be better. The authors need to clarify this both intuitively and empirically via comparison experiments (theoretical comparisons would be nice to see as well).",ify,SJlBb0_QYB
"However, the method to achieve this is quite convoluted, and straightforward generator training to minimize D_phi does not appear to work (the authors do not say why either).",2,SJlBb0_QYB
"Sometimes you write ""ViT"" and other times ""VIT"", but I guess you mean the same thing?",ify,R074PlNeOBO
"Overall, the paper is well-written but it does not contain significant contributions. ",2,tmNLCXiWNwV
  I see little contribution of demonstrating how to create a surrogate benchmark for NAS. ,2,tmNLCXiWNwV
"  If the authors want to take the societal impact section seriously, they should consider the risk that they have potentially wasted energy and hardware for no reason.",2,tmNLCXiWNwV
Technically correct bu this paper falls significantly below the threshold of this conference. ,2,Nu0maTYCh
 The significance is rather weak. ,2,Nu0maTYCh
 The presentation can be improved a lot. ,2,Nu0maTYCh
 There are meager significant differences of proposal with existing baseline ensembles.,2,Nu0maTYCh
" I believe the paper is very poorly structured, does not introduce related work properly, contains many unclear points in the presentation, making it almost impossible for the reader to grasp key ideas without reading at least three related works on which this paper is heavily based ",2,Ka8dgAhR3eM
" In my opinion, these ideas are quite marginal and do not contain any interest for community. The paper re-uses already existing and well working techniques, such as the whole framework of (Siarohin et al., 2019b).",2,Ka8dgAhR3eM
" While reading the paper, I really felt that each of the experiments are poorly motivated, without sufficient explanation of why each experiment should appear at a certain point and why each experiment and the corresponding message is important ",2,FteLvJtLPU_
 It seems that the whole paper is simply enumerating many experimental results without proper structures. ,2,FteLvJtLPU_
The paper is well written but I have a concern that the author's contribution is very low.,2,aq6_ayFN6_
The paper is basically a compilation of experiments with no explanations of the observed phenomena.,2,997dEeb_37E
" Unfortunately, the paper has several typos and mistakes as well. ",2,rJx0u1p19B
"  Unfortunately, the technical value of the content and its novelty is very limited since the proof reduces to a very basic argument that counts invariances (which is simply n! where n is the number of invariant dimensions) and uses a standard approach to give a generalization bound. ",2,rJx0u1p19B
" 
 The ""Curricular"" model is really just supervised pre-training on related datasets (american crosswords) with some data-augmentation. It is not curricular learning, nor is it particularly novel.",2,4ylX6a3vTs
" Unfortunately the contribution is too minor, and the work too incremental, to be worthy of a place at a top-tier international conference such as ICLR. ",2,BkSq8vBxG
Results seem interesting and it's a pity that the paper is not so clear. ,2,Pann-l2fWF
"Regardless, even if practically effective, these changes seem more like reasonable engineering decisions to improve the speed/performance rather than research contributions that provide any real insights.",2,HyldHxls2X
"Despite its close kinship with SET, there are surprisingly no comparisons presented whatsoever.",2,HyldHxls2X
Is this really true?,2,Skx2F789YH
"The proposed MoG is not convincing and novel, which just averages the graphs from different modalities.",2,JPOa379RtJC
"In my opinion, this contribution is weak.",2,JPOa379RtJC
The paper does not present any novel idea for cardiac segmentation.,2,M1kkEjBPQTs
"The idea is interesting, however the experiments in this paper is seriously lacking.",2,Hk37PGqlz
"The results are quite behind the SOTA and PTB is a really tiny, toyish language modeling task.",2,Hk37PGqlz
Please improve the quality of writing and ask native speakers to proof read the paper.,2,7b_VWzn-bf
There is nothing special that surprises me in the model.,2,r1lJBVcRF4
I feel the whole model design is kind of boring.,2,r1lJBVcRF4
"This paper does a great job in synthesizing the related works, identifying their contributions and limits, and pointing out where this work stands.",positive,EceCkjTTT-8
"Then what technical challenge do they need to solve? Are the proofs, even though very long, standard or requiring some innovations? These should be made clearer.",2,I4MlIhkjRD2
"The paper is easy to read, clearly well motivated, and generally of high quality.  The paper would be a great addition to the SPARK workshop.  ",positive,rygT8T4Io4
This was submitted as a workshop paper but I think with just a little more detail it would be a strong contender for a regular conference paper.,positive,ByeQl_FmqN
"Overall this paper was a pleasure to read - clearly motivated, tackling an important problem and using state-of-the-art methods to achieve it.",positive,ByeQl_FmqN
" would have appreciated a little more discussion of the stability of gradient ascent/descent for solving the Lagrangian multiplier formulation of their objective, as I have found these kinds of problems very hard to work with in a stochastic domain, but overall the paper was compelling and timely.",positive,ByeQl_FmqN
The paper is clear to read and the main ideas are conveyed quickly.,positive,FERFTRjLBDm
" I decided to give a score of two as I believe the mistake can be fixed quickly and this is a workshop where we encourage a wide range of discussion, and I strongly advise the authors to correct the notation and make sure that the theoretical results still hold",positive,FERFTRjLBDm
"Also, a discussion like the one mentioned above could be of value for the paper and discussions in the workshop.",positive,FERFTRjLBDm
The paper is very well written,positive,IHJeBjXTO-
"The paper has a good technical quality, i.e., everything is formulated without technical flaws",positive,IHJeBjXTO-
The proposed approach is novel in the sense that it solves visual planning problems,positive,IHJeBjXTO-
The paper leads to many important applications,positive,IHJeBjXTO-
"Novel approach, nice initial validation. ",positive,p8A55kU9xd
"The methods shows good performance, but some false positives that should still be addressed.",positive,p8A55kU9xd
the authors demonstrate limited understanding of the related literature. ,2,syOyRxg288S
This paper is well-written,positive,1wCEYW9Zkt
"As this is a short paper I recommend weak accept, but it is actually not good enough",2,1wCEYW9Zkt
I would not be upset if it is rejected.,2,1wCEYW9Zkt
"This ""data-replacement"" experiment is very natural to make, therefore I am glad it was done.",positive,HkxRKaJct4
The metric for identifying BigGAN failures per class is also an interesting byproduct.,positive,HkxRKaJct4
"Indeed, even if per-class FID could perform worse, it has the great benefit of not necessitating to train new Resnet-50 networks",positive,HkxRKaJct4
 I think this paper and its experiments is a nice contribution to the workshop,positive,HkxRKaJct4
"The paper is clear, well written, and very relevant to the workshop.",positive,BJxd_c3AdV
"The paper presents a clear and comprehensive process from collecting test samples to final dashboard exhibitions, which provides valuable paradigm experience for data collecting and processing, particularly for college and education communities.",positive,mYUxvVthARd
"The collected data are valuable for public policy and AI modeling communities. For instance, the work uses Wifi data for individual monitoring and contact tracing, which may help establish contact networks and provide a better understanding of how disease can spread within schools",positive,mYUxvVthARd
This paper is well written and motivated.,positive,r1e9Lo4-n4
Highly relevant to the workshop and should spark interesting discussion.,positive,r1e9Lo4-n4
This paper raises a number of very interesting questions for human-robot interaction:,positive,r1e9Lo4-n4
"The paper is clearly written and presents compelling results on the efficacy of the method, especially on hard instances where images contain multiple objects with significant size differences.",positive,eZwM9hTGFx
This is a nice workshop paper but would benefit from a clearer discussion of the related work.,positive,B1eRGEa1tV
"This paper proposes an efficient method for survival analysis using neural networks. I'm not familiar with the topic, but the paper is well-written and initial results seem to look good. ",positive,5rxugSbXWL
"This is a good paper; the ideas are original, technically interesting, and well presented (there are some issues with language but nothing distracting), and results are convincing.",positive,S1lulXBZ5N
There was a slight missed opportunity in explaining in further details,positive,S1lulXBZ5N
"The paper's presentation is very clear and I appreciate the idea to combine meta-learning and the options framework, but I do not think that the experiments fully demonstrate the potential of the method.",positive,gRWTAgk8c79
"In short, the paper has good motivation, however, the experiments have flaws and are not strong enough to demonstrate the potential of their approach.",positive,gRWTAgk8c79
The paper introduces a neat and practically helpful method for faster benchmarking of algorithmic and/or model changes.,positive,Rh7bYa5xqD
"The proposed method is well described and supported by illustrations and examples, which makes it easy to understand.",positive,A39AOJMaA0
"Since I do not see other major weaknesses and the remaining parts are well written, and the experiments seem to be well conducted",positive,A39AOJMaA0
Overall this is a well written paper with a very relevant topic and proposed method for this workshop.,positive,-En07bsLWAs
"generally, the paper does a good review of existing literature and aims to relate two important subfields",positive,vUrQcSFhoL5
"This is a well-written, clear, and relevant paper to the conference",positive,S1gCKKWW3N
The work is well motivated by a description of planners at NASA and is used as a running example throughout the paper.,positive,S1gCKKWW3N
"The problem of explaining why a plan fails is a core focus of this workshop thus this paper will be highly relevant to the audience.

",positive,S1gCKKWW3N
I must admit that I did not fully understand why changes in the mutual information between variables is indicative of inferred causal structure - could it not be possible that the MI between variables changes without causal associations?,Maybe,rLqe5g337Mq
But the IR with ref field map seems to have better performances than the proposed method.,Confirmed,X8mfXIOYQs
The paper is confusing as to whether its goal is to create a schedule versus the ability to adjust an existing schedule during execution to take advantage of shorter than modeled activity durations.,Maybe,Skg0oMcwsE
"While switch sets are interesting,  I am not sure how the problem is solved without switch sets.",Confirmed,Skg0oMcwsE
Scheduling is an intractable problem.  How does the approach get good schedules with no backtracking?,Confirmed,Skg0oMcwsE
This is especially concerning given that the evaluation problems only have a single switch set.,Maybe,Skg0oMcwsE
Based on the example given the approach guarding for time is not sound and can result in schedules that do not schedule all mandatory activities.,Confirmed,Skg0oMcwsE
The experiments are not convincing for several reasons:,Confirmed,SJx5gjF2FB
"Overall, I'm not convinced that the proposed approach would lead to any substantial improvement for MMD-GAN in practice, and the experiments are not really convincing as they are now.",Confirmed,SJx5gjF2FB
"Unfortunately, the most recent works referred to in the paper (other than the author's own) are mostly from ages ago.",Confirmed,SklmeUmZ2E
"Personally, I think ""preference accounts"" is a misnomer.",Confirmed,SklmeUmZ2E
"the current version, in my opinion, does not deliver significantly novel insights, nor considering a reasonably practical threat model.",Confirmed,dwEwHK1pMk
I couldn't see the practical utility and contributions form these results.,Confirmed,dwEwHK1pMk
the baseline models in comparison are too weak and unfair.,Maybe,dwEwHK1pMk
this paper contains too many high-level discussions accompanied with limited or even no empirical evidence.,Confirmed,dwEwHK1pMk
"In my opinion, the current version requires significant revision.",Confirmed,dwEwHK1pMk
I don't think the motivation is strong enough and is convincing.,Confirmed,BEAS7F3O-4
I still doubt why Eureka Loss does not work better than recent works when training 200 epochs (which is also a common setting recently).,Maybe,BEAS7F3O-4
It seems that the experiment results are not strong enough to support the proposed opinion.,Not concerning,BEAS7F3O-4
The arguments about ad hoc design are self-contradictory.,Confirmed,zcXYTJJO6_2
This is a bit incremental even they achieved 1% accuracy up.,Maybe,zcXYTJJO6_2
"However, it is believed that whenever group convolution is implemented in an efficient manner when considering the architecture of GPU, one-by-one convolution is the most memory-efficient design choice compared to other design choices, including group convolution.",Maybe,zcXYTJJO6_2
"Understandably, the authors do not want to waste space in the main text to explain methods adapted from some other work.",Not concerning,RMeUd9fmjyj
"Although I can see how it might be used for explainable planning, the paper itself doesn't make a very strong claim.",Not concerning,HyxFPP0g3E
"However, the proposed model is trivial.",Confirmed,r1xX5KR0OB
The experimental results in this paper are weak.,Confirmed,r1xX5KR0OB
"Secondly, the baselines in this paper are too trivial.",Confirmed,r1xX5KR0OB
The main issue of this paper is the novelty is incremental.,Confirmed,r1xX5KR0OB
The baselines used in this paper is also trivial.,Confirmed,r1xX5KR0OB
I don't think this paper is suited for publication since it lacks enough substance.,Confirmed,tQgm2nhJUv
"There is gross error in the abstract: the curse of dimensionality doesn't refer any cubic scaling, but on an exponential dependence in dimension.",Maybe,tQgm2nhJUv
the first 4 pages are spent on elementary definitions. This appears as an unnecessary padding.,Maybe,tQgm2nhJUv
"The overall idea, although sensible, appears unjustified.",Confirmed,tQgm2nhJUv
Why would the community be interested in this problem?,Missed by Model,tQgm2nhJUv
"Experimental results are weak, and comparisons with other methods are lacking, so it is hard to judge what are the actual gains.",Confirmed,tQgm2nhJUv
"- Section 1.1: ""Autonomous driving techniques also exist, though they lack the ability to do high level planning to choose paths that are advantageous for longer term navigation."" --This is not true. See any of the numerous good systems described in literature.",Not concerning,Bknbc_kxG
- My main concerns with the experiments is that they are not answering two main questions: 1. What is SVIN/VIN bringing to the table as a function approximator as opposed to using a more traditional but similar capacity CNN? 2. Why are the authors choosing to do essentially behavior cloning as opposed to imitation learning?,Not concerning,Bknbc_kxG
- What does 45% accuracy actually mean? Are the predicted paths still usable? No figures showing some qualitative good and bad examples are shown so hard to tell.,Maybe,Bknbc_kxG
My main concern is that the authors fail to compare their appproach to any of the modelling approaches discussed in the related works section.,Maybe,rygHwa3up7
"Related work is incomplete, for example the use of tensor-trains in RNNs to model EHR data (Yang et al) - would the proposed approach not benefit for the use of such tensorization to better model the high-dimensional, sparse EHR data?",Maybe,rygHwa3up7
"Considering the lack of the aforementioned experiments and of more rigorous theoretical support for FCL for robustness that generalizes beyond the gaussian/uniform noise evaluated here, this paper is still not ready for publication.",Not concerning,BdLMha3H8_N
The Figures are in general really hard to read when printed. Perhaps you could use the available space a bit more efficiently.,Not concerning,xmj7bBnBv4
The observations mentioned in Section 2 (e.g. Line 70) are not always that obvious to me in the Figures.,Not concerning,xmj7bBnBv4
I am not sure whether the proposed framework is general enough.,Confirmed,HHegKEkW1zc
"The specific value being measured against is only mentioned in Figure 1 (Effective copies of genome per $\mu L$ ), and it is unclear if there are other predictive factors being looked at.",Confirmed,BTgzkybmbV
This makes the problematic of designing methods for seeing each image once a bit artificial because N2N is already well suited to the task.,Confirmed,rJepWPJ9t4
I would advocate against accepting the paper based on clarity alone at this point.,Confirmed,BkgW8i5RKB
"The human evaluation is neat but is inconclusive–in a glaring act of omission, the authors do not link to samples generated by their model, while they include samples generated by the competition.",Confirmed,ByeiePV93Q
The acronym HierArchical PolyPhonic musIc gEnerative RNN is destructive; it devalues useful acronyms. Please do not use it.,Confirmed,ByeiePV93Q
"However, the proposed solution of just integrating an additional detection task branch within the Siamese tracking architecture is naive.",Confirmed,S1lT_rjdtr
The main idea of integrating instance driven detection as an auxiliary task is borrowed from [1].,Confirmed,S1lT_rjdtr
The reviewer does not fully agree with this statement.,Not concerning,S1lT_rjdtr
The design choices are rather arbitrary.,Maybe,HyemrA0d2X
"However, the originality of the paper is rather limited and it is not clear what is the added value to for the community from such paper.",Confirmed,HyemrA0d2X
"Moreover, there are glaring omissions in the literature review, especially on the theoretical side and regrading weights perturbation methods.",Confirmed,gRNM1v_eNuk
"I'm confused about how you arrived at this statement since there is only one
case (*Facebook PagePage*) out of six, where CAT or L-CAT significantly
outperform the GCN baseline. In all other cases, if I understand correctly, GCN
is better on average or the improvements of CAT/L-CAT are insignificant. ",Maybe,0BNgxmH5rU
The significance of the paper is limited.,Maybe,U26GZfrMKJ
"Likewise, the main practical conclusion is somewhat underwhelming: ""continual learning techniques mostly address forgetting issues"" does not give much insight.",Confirmed,U26GZfrMKJ
"I read ""user preferences"" Section 5, but i had no clue what it is.",Confirmed,r1xi3s4_j4
The presented results show that their method outperforms related methods compared in this work (significantly?),Confirmed,_J8YcyrYZqb
"The authors make the argument that clip fine-tuning performs is wasteful, as it ignores all but the last few frames of each demonstration.",Not concerning,_J8YcyrYZqb
"The authors assume that SW/HW stack change the results of deep learning models a lot, and this is the main assumption in this work, however, normally in practice HW/SW stack wont change the results.",Confirmed,r1xlT9d5oH
I found the experiments either not related to the point of the paper or being very trivial not helping to backing up the arguments of the paper.,Confirmed,r1xlT9d5oH
"Such experiments does not back up the main argument of the paper, which argues for fair evaluation between neural models, nor provides informative information to the reader.",Confirmed,r1xlT9d5oH
"Again, this experiment does not add any value to the paper.",Confirmed,r1xlT9d5oH
"so having this experiment again neither back up the arguments in the paper, nor add value to the paper.",Confirmed,r1xlT9d5oH
"The major issue with this submission is that the experiments are not related to the arguments of the paper, and are not conveying any message towards backing up the arguments of the paper.",Confirmed,r1xlT9d5oH
"Another crucial problem is that to allow a fair comparison especially in neural models, as shown in several studies(see [1] as a sample), this is important to account for random seeds and study how it impacts the model performance, to allow a fair evaluation of the models this is important to consider this factor, fair evaluation of models is argued to be the main point of this paper, however, the authors does not consider this factor in the paper, nor study it in the experiments.",Confirmed,r1xlT9d5oH
"Multiple grammatical and syntactical  errors make the text hard to follow, e.g.,  the last sentence of the first paragraph of the introduction does not make sense, and citations need fixing.",Confirmed,Bkxzx1DdKN
"The main *weakness* of the paper is that the writing is confusing, which makes it difficult to see what the main point of the paper is.",Confirmed,4t58U8YwEn
The authors seem to argue for multiple statements that show up once in the paper and are then dropped or forgotten.,Confirmed,4t58U8YwEn
"Additionally, some of the statements made by the authors seem wrong or at least misleading:",Confirmed,4t58U8YwEn
The finding that ensemble learning gives better results than individual learners is trivial.,Maybe,S1xnGsw7fN
I think each of them has pros and cons.,Not concerning,S1xnGsw7fN
"As the last comment, I wonder how (much) this ensemble learning method can be better than crowd based KBC methods, as motivated by abstract and introduction.",Not concerning,S1xnGsw7fN
"However, important parts of the paper seem currently unfinished and would benefit from a more detailed discussion and analysis.",Confirmed,H1-nFopxM
"However, what is worrying is that Minerva doesn't do well on WN18 and FB15k-237 (for which the results are, unfortunately, only reported in the appendix).",Confirmed,H1-nFopxM
"From these results, I find it hard to justify that ""MINERVA obtains state-of-the-art results on seven KB datasets, significantly outperforming prior methods"", as stated in the abstract.",Confirmed,H1-nFopxM
"I am not sure that the statement in Line 95 that image size is a proxy for image difficulty is valid. Why should smaller images be easier? If anything, information is lost.",Confirmed,BZ8ziSQ74Ya
"However, why isn't there any baselines in the experiment section to compare with?",Not concerning,BExbq92fCW9
The experimental results are strikingly good.,Not concerning,r1lf1kprY4
"(-) evaluation on the synthetic test data is limited to MFI and IR based on the reference field map, only.",Maybe,ZxSp780WWy
(-) the runtime evaluation (12.3 ms per frame)  provided in the conclusion should be part of the experiments section.,Not concerning,ZxSp780WWy
"Unfortunately, I believe that the current manuscript is at a too early stage for being accepted at ICLR,",Confirmed,BJgv7YQcYS
The paper is littered with spelling/grammar mistakes,Confirmed,BJgv7YQcYS
"The Actor-Critic framework, coupled with a conditional query learning algorithm, is unfortunately unintelligible",Confirmed,BJgv7YQcYS
It is not particularly rich or original.,Confirmed,Qj-L5s0CTJo
this reporting is hardly relevant and does not demonstrate any interesting property of Automunge.,Confirmed,Qj-L5s0CTJo
I could not make sense of them.,Confirmed,Qj-L5s0CTJo
The text is hard to understand.,Confirmed,Qj-L5s0CTJo
"After quite some hesitation, I have to assign this paper a severe rating due to the conjunction of several severe shortcomings.",Confirmed,Qj-L5s0CTJo
Both findings do not seem quite new.,Confirmed,H1l0JeopFB
Another drawback is lack of practical implications.,Confirmed,H1l0JeopFB
"It is known that ensembling based on dropout is worse than independent networks, but the main advantage of this and similar approaches is memory efficiency.",Maybe,H1l0JeopFB
"I do not think this paper is suitable for publication at NeurIPS as it focuses on a particular application without introducing any technical novelty, and the task is somewhat contrived for the application domain.",Confirmed,ssW9JQNeeNw
he task they are addressing is not a realistic setting,Maybe,ssW9JQNeeNw
I am not convinced from the current results that extending this approach is promising.,Confirmed,ssW9JQNeeNw
"The paper compared the complexity thoroughly, though there is no improvement.",Maybe,vQ5wnWF6YmR
The abbreviations of the proposed algorithms and the baselines are very confusing. What does TS-ref stand for?,Confirmed,vQ5wnWF6YmR
"It is not clear why the fitness on the synthetic data are always very low, e.g. <0.4 in Figure 1(a).",Maybe,vQ5wnWF6YmR
"The contributions from this paper have good intentions, but it likely to only be of significance to a small portion of the community.",Confirmed,fxQcljG59Uo
I think this paper makes reasonable contribution to the literature.,Not concerning,Bkg3hb3-9E
"First of all, it is not clear to me why Theorem 2 is relevant to ",Confirmed,HyxTMY0aKS
"Moreover, the authors’ claim ",Not concerning,HyxTMY0aKS
"Finally, Theorem 4 only considers one-dimensional models, which is not a very interesting problem setting.",Confirmed,HyxTMY0aKS
