Input,Output,Id
The acronym HierArchical PolyPhonic musIc gEnerative RNN is destructive; it devalues useful acronyms. Please do not use it.,The acronym HierArchical PolyPhonic musIc gEnerative RNN seems forced and may not effectively communicate the essence of your model. Consider revising it for clarity and impact.,ByeiePV93Q
"The human evaluation is neat but is inconclusive–in a glaring act of omission, the authors do not link to samples generated by their model, while they include samples generated by the competition.","The human evaluation is a good initiative, but it would be more conclusive if the authors provided links to samples generated by their model, as they have done for the competition, to allow for a direct comparison.",ByeiePV93Q
"However, the proposed solution of just integrating an additional detection task branch within the Siamese tracking architecture is naive.","However, the proposed solution of integrating an additional detection task branch within the Siamese tracking architecture could be further developed to enhance its originality and effectiveness.",S1lT_rjdtr
The design choices are rather arbitrary.,The rationale behind the design choices could be further elaborated to strengthen the paper.,HyemrA0d2X
"The paper is easy to understand. However, the originality of the paper is rather limited and it is not clear what is the added value to for the community from such paper.","While the paper is easy to understand, it would be beneficial to highlight the novel contributions more clearly to emphasize the value it adds to the community.",HyemrA0d2X
"Moreover, there are glaring omissions in the literature review, especially on the theoretical side and regrading weights perturbation methods.","However, the literature review could be more comprehensive, particularly regarding the theoretical aspects and weight perturbation methods.",gRNM1v_eNuk
"I'm confused about how you arrived at this statement since there is only one case (*Facebook PagePage*) out of six, where CAT or L-CAT significantly outperform the GCN baseline. In all other cases, if I understand correctly, GCN is better on average or the improvements of CAT/L-CAT are insignificant.","Could you please clarify the basis for the statement that 'CAT and L-CAT mostly improve test accuracy with respect to their baseline model'? It appears that in the case of *Facebook PagePage*, CAT or L-CAT significantly outperform the GCN baseline, but in the other cases, the performance seems comparable or the improvements are not substantial. Additional data or discussion here would be helpful.",0BNgxmH5rU
The significance of the paper is limited.,"While the paper presents interesting findings, the significance could be enhanced by addressing the broader implications of the research methodology.",U26GZfrMKJ
"Likewise, the main practical conclusion is somewhat underwhelming: ""continual learning techniques mostly address forgetting issues"" does not give much insight.",The practical conclusion could be strengthened by providing more detailed insights into how continual learning techniques address forgetting issues.,U26GZfrMKJ
"I read ""user preferences"" Section 5, but i had no clue what it is.","In Section 5, the term ""user preferences"" is introduced, but its connection to the ""autonomous feasibility"" discussed earlier is not immediately clear. Clarifying this relationship would enhance the reader's understanding.",r1xi3s4_j4
"The authors make the argument that clip fine-tuning performs is wasteful, as it ignores all but the last few frames of each demonstration.","The authors argue that clip fine-tuning may not be optimally efficient, as it primarily utilizes the last few frames of each demonstration.",_J8YcyrYZqb
"The authors assume that SW/HW stack change the results of deep learning models a lot, and this is the main assumption in this work, however, normally in practice HW/SW stack wont change the results.","While the authors posit that variations in SW/HW stacks significantly impact deep learning model results, which is a central assumption of this work, it would be beneficial to consider that in many practical scenarios, the HW/SW stack may not lead to substantial changes in outcomes.",r1xlT9d5oH
I found the experiments either not related to the point of the paper or being very trivial not helping to backing up the arguments of the paper.,"The relevance of the experiments to the paper's main points could be strengthened, and additional non-trivial evidence may help in supporting the paper's arguments more effectively.",r1xlT9d5oH
"Such experiments does not back up the main argument of the paper, which argues for fair evaluation between neural models, nor provides informative information to the reader.","It would be helpful if the experiments could be more closely aligned with the paper's main argument of advocating for fair evaluation between neural models, thereby offering more informative insights to the reader.",r1xlT9d5oH
"Again, this experiment does not add any value to the paper.",Further clarification on how this experiment enhances the paper's value would be beneficial.,r1xlT9d5oH
"so having this experiment again neither back up the arguments in the paper, nor add value to the paper.",It would be constructive to see how this experiment could be better integrated to support the paper's arguments and contribute to its overall value.,r1xlT9d5oH
"The major issue with this submission is that the experiments are not related to the arguments of the paper, and are not conveying any message towards backing up the arguments of the paper.",A major area for improvement in this submission could be to ensure that the experiments are more closely related to the paper's arguments and effectively contribute to reinforcing those arguments.,r1xlT9d5oH
"Another crucial problem is that to allow a fair comparison especially in neural models, as shown in several studies(see [1] as a sample), this is important to account for random seeds and study how it impacts the model performance, to allow a fair evaluation of the models this is important to consider this factor, fair evaluation of models is argued to be the main point of this paper, however, the authors does not consider this factor in the paper, nor study it in the experiments.","To enhance the paper's focus on fair evaluation, it would be advantageous to consider the impact of random seeds on model performance, as this is a significant factor demonstrated in several studies, including [1]. Addressing this could strengthen the paper's arguments and contribute to its novelty.",r1xlT9d5oH
"Multiple grammatical and syntactical  errors make the text hard to follow, e.g.,  the last sentence of the first paragraph of the introduction does not make sense, and citations need fixing.","The manuscript could benefit from a thorough proofreading to address several grammatical and syntactical issues that currently impede readability. For instance, the last sentence of the first paragraph in the introduction could be clarified, and the citations require attention.",Bkxzx1DdKN
"The main *weakness* of the paper is that the writing is confusing, which makes it difficult to see what the main point of the paper is.","A significant area for improvement is the clarity of the writing, which could be enhanced to better convey the main points of the paper.",4t58U8YwEn
The authors seem to argue for multiple statements that show up once in the paper and are then dropped or forgotten.,"The paper would benefit from a more consistent development of the key arguments presented, ensuring they are fully explored and integrated throughout the manuscript.",4t58U8YwEn
"Additionally, some of the statements made by the authors seem wrong or at least misleading:","Additionally, there are some statements by the authors that may benefit from further clarification or supporting evidence to avoid potential misunderstandings:",4t58U8YwEn
The finding that ensemble learning gives better results than individual learners is trivial.,"While the paper demonstrates that ensemble learning outperforms individual learners, it would be beneficial to discuss more about how this approach contributes methodologically beyond what is already known.",S1xnGsw7fN
"However, important parts of the paper seem currently unfinished and would benefit from a more detailed discussion and analysis.","However, there are sections of the paper that could be further developed, and I would recommend a more detailed discussion and analysis in these areas.",H1-nFopxM
"However, what is worrying is that Minerva doesn't do well on WN18 and FB15k-237 (for which the results are, unfortunately, only reported in the appendix).","However, I am concerned about Minerva's performance on WN18 and FB15k-237, and I suggest that the results for these datasets be discussed more prominently in the main text rather than only in the appendix.",H1-nFopxM
"From these results, I find it hard to justify that ""MINERVA obtains state-of-the-art results on seven KB datasets, significantly outperforming prior methods"", as stated in the abstract.","Given these results, it would be helpful if the authors could provide further justification for the claim in the abstract that ""MINERVA obtains state-of-the-art results on seven KB datasets, significantly outperforming prior methods"".",H1-nFopxM
"I am not sure that the statement in Line 95 that image size is a proxy for image difficulty is valid. Why should smaller images be easier? If anything, information is lost.","The statement in Line 95 that image size is a proxy for image difficulty could benefit from further clarification or evidence. It might be helpful to consider how the reduction in image size could impact the complexity of the task, as some information may be lost with smaller images.",BZ8ziSQ74Ya
"Unfortunately, I believe that the current manuscript is at a too early stage for being accepted at ICLR,","While the manuscript presents promising ideas, it may benefit from further development to meet the acceptance criteria of ICLR.",BJgv7YQcYS
The paper is littered with spelling/grammar mistakes,The paper contains several spelling and grammar mistakes that could be addressed with careful proofreading or the use of a spell/grammar checker.,BJgv7YQcYS
"The Actor-Critic framework, coupled with a conditional query learning algorithm, is unfortunately unintelligible","The explanation of the Actor-Critic framework, in conjunction with the conditional query learning algorithm, could be clarified to enhance the reader's understanding.",BJgv7YQcYS
It is not particularly rich or original.,The library could benefit from more distinctive features that set it apart from existing solutions.,Qj-L5s0CTJo
this reporting is hardly relevant and does not demonstrate any interesting property of Automunge.,The relevance of this reporting could be enhanced by demonstrating more of Automunge's unique properties.,Qj-L5s0CTJo
"After quite some hesitation, I have to assign this paper a severe rating due to the conjunction of several severe shortcomings.","Due to the issues identified, I find it necessary to recommend a thorough revision before considering this paper for publication.",Qj-L5s0CTJo
Both findings do not seem quite new.,"While the findings build upon existing knowledge, it would be beneficial to highlight more clearly the novel aspects of this research.",H1l0JeopFB
Another drawback is lack of practical implications.,It would be advantageous for the paper to discuss potential practical implications to enhance its impact.,H1l0JeopFB
"I do not think this paper is suitable for publication at NeurIPS as it focuses on a particular application without introducing any technical novelty, and the task is somewhat contrived for the application domain.","While the paper presents a detailed study, it may benefit from demonstrating more technical novelty or broader applicability to be a strong fit for publication at NeurIPS.",ssW9JQNeeNw
The task they are addressing is not a realistic setting.,The task addressed in the paper could be made more relevant by considering a wider range of realistic settings.,ssW9JQNeeNw
I am not convinced from the current results that extending this approach is promising.,The current results could be strengthened with additional evidence to support the potential of extending this approach.,ssW9JQNeeNw
"The paper compared the complexity thoroughly, though there is no improvement.","While the paper provides a thorough complexity comparison, it would be beneficial to see how this translates into improvements over existing methods.",vQ5wnWF6YmR
"The contributions from this paper have good intentions, but it likely to only be of significance to a small portion of the community.",The contributions from this paper are promising and could be particularly impactful within its specialized niche in the community.,fxQcljG59Uo
"Moreover, the authors' claim \","It seems there might be a misunderstanding regarding the authors' statement that 'the implicit regularization in over-parameterized DNNs has not been identified.' Existing literature, such as Arora et al., 2019b, suggests that this area has been explored, particularly in the context of gradient flow with square loss in infinitely wide neural networks.",HyxTMY0aKS
"Finally, Theorem 4 only considers one-dimensional models, which is not a very interesting problem setting.",Theorem 4's focus on one-dimensional models may limit the broader applicability of the results. Expanding the scope to include higher-dimensional models could potentially make the findings more compelling.,HyxTMY0aKS
The paper is clearly below the GI acceptance bar.,The paper may need significant improvements to meet the GI acceptance criteria.,ROU8iV22sb
"Aside from many problems about presentation and also technical issues, the contribution of the paper is unknown and marginal and I do not believe that it advances Graphics state of the art.",The paper could benefit from a clearer articulation of its contributions and how it advances the field of Graphics.,ROU8iV22sb
"However, I think the paper would need either (1) more thorough experimental results (see comments above, points 2 and 3 of weaknesses) or (2) more justifications for its existence (see comments above, point 1 of weaknesses).","To enhance the paper's impact, I recommend expanding the experimental results as suggested in points 2 and 3 of the weaknesses, or providing additional justifications for the proposed method as discussed in point 1 of the weaknesses.",ryxHNSeUtS
many results are not reliable.,The reliability of some results could be strengthened by considering a wider range of attack methods.,B1ePMbbcnQ
remove the detection methods: I did not find any real conclusion about them but they are definitely side-tracking users away from the main results.,It may be beneficial to focus more on the main results and clarify the conclusions drawn from the detection methods to avoid potential confusion.,B1ePMbbcnQ
basing conclusion on only one or two attacks is dangerous,Drawing conclusions from a limited set of attacks could be improved by including a more diverse array of attack methods to ensure robustness.,B1ePMbbcnQ
The abstract doesn't fit well the content of the paper.,The abstract could more accurately reflect the content of the paper.,rJRfJZKxf
value iteration is presented as a learning algorithm (which in my opinion is not),"It may be beneficial to reconsider the presentation of value iteration, as it is typically not characterized as a learning algorithm.",rJRfJZKxf
"If the results are not cherry picked, this is a very important contribution -- which I would like to see as a follow up conference paper.","To ensure the robustness of the results, it would be beneficial to see a follow-up study that confirms these findings. This could make for a significant contribution and I would be eager to see it presented at a conference.",iKhsMiVcUA
The paper suffers from several disadvantages (ranging in importance from minor to more fundamental) that however IMHO can be improved upon mostly quickly as they are mostly aspects of presentation.,"The paper has several areas for improvement, particularly in presentation, which I believe can be addressed effectively and swiftly.",SelEHbD6xq
"Furthermore, 12 pages of appendix over 5 pages of main paper seems disproportionate to what I would believe the workshop organizers intended with the original statement on limitations for the submissions.","The balance between the 12-page appendix and the 5-page main paper may not align with the workshop organizers' expectations regarding submission limitations, which is something the authors may want to consider.",SelEHbD6xq
"Nonetheless, I've considered the complete appendix for my review, but have noted for myself to be aware of potential biases or unfairness when reviewing other papers for OSC that do not violate the given limitations and recommendations.","I have taken the complete appendix into account for my review, while also being mindful to maintain fairness and avoid bias when reviewing other papers for OSC that adhere to the given limitations and recommendations.",SelEHbD6xq
"This is not completely novel, as something similar was done already in Gerard et al.","The concept of emphasizing regions near the lobe boundary has been explored before, as seen in Gerard et al., but this paper's specific implementation of the weighted Dice coefficient may offer new insights.",ySEkG5pcaB
Also this paper doesn't have a large amount of data.,"The dataset used in this study is somewhat limited in size, which may affect the generalizability of the results, but the findings are nonetheless intriguing.",ySEkG5pcaB
The authors suggest that AI Planning could be used in the (surprise surprise) planning step of the cloud migration process.,"The authors propose the innovative use of AI Planning in the planning step of the cloud migration process, which is an insightful addition.",SkldKJN1oN
The paper should be rejected for the following reasons.,The paper could be improved in several areas before consideration for acceptance.,HyggZ2a-5S
The paper severely lacks in relation to relevant related work.,The paper could benefit from a more comprehensive review of relevant related work.,HyggZ2a-5S
Half(!) of the 14 referenced papers are by the author himself.,The authors should ensure a more balanced citation of external work in addition to their own.,HyggZ2a-5S
This can be verified since the double blind review process is compromised as the paper links to code in the author’s public github account.,"The integrity of the double-blind review process should be maintained, and as such, any links to the authors' code repositories should be anonymized.",HyggZ2a-5S
"Some reported results are already known in the literature and the paper gives the impression that these results are new, especially that the authors give the proofs.","The authors may want to clarify how their results build upon existing literature, as some results such as the unbiasedness of the quantization and its bounded variance appear to be well-established. Providing context on how these results are integrated into the new contributions could enhance the paper's originality.",hF6gXS_asmk
"Page 5, concerning the quadratic example: this is a trivial case and the only case where one can hope the lower bound to match the upper bound.","On page 5, regarding the quadratic example, it would be beneficial to discuss its significance in greater detail, as it may seem straightforward to those familiar with the subject. Explaining its relevance to the broader context of the work could help underscore its importance.",hF6gXS_asmk
"I had trouble to understand some parts of this paper, since some of the sentences do not make sense to me.","I found some parts of the paper challenging to understand, and I believe certain sentences could be clarified.",BkgYfE5o3Q
the major problem of this paper is that it uses the data processing inequality (DPI) in a **wrong** way.,A significant concern I have is with the application of the data processing inequality (DPI); it appears to be inconsistent with standard definitions.,BkgYfE5o3Q
"I find this to be an over-claim, as the agent doesn’t pause (it can’t) and doesn’t plan (for any common definition of planning).",The claim regarding the agent's pausing and planning might be ambitious given the current model's capabilities. It would be beneficial to clarify these aspects or provide additional evidence to support the claim.,lF-NjoDyDrY
"However, given that there are plenty of arbitrary choices when training an RNN, I believe the results are not particularly explanatory.",The training of RNNs involves a number of choices that could influence the results. It would be helpful if the authors could discuss how these choices were made and how they might affect the conclusions drawn.,lF-NjoDyDrY
"For these reasons, I am voting for a weak reject now and conditional on the authors' rebuttal, I might increase my score later.","Based on these concerns, my current recommendation is a weak reject. However, I am open to revisiting this decision after considering the authors' rebuttal and any subsequent revisions they may make.",BkgEMMW937
"Given the amount of change required to address these modifications, I am not sure about the quality of the final work, so I keep my score the same.","Considering the extent of the revisions needed, I remain uncertain about the potential quality of the final manuscript. Therefore, I am maintaining my initial score at this time.",BkgEMMW937
"Overall, assumptions that both the generative model and the classifier behave when encountered by unseen inputs, as is required by the proposal, are somewhat ""swept under the rug"".","It would be beneficial for the paper to more explicitly address how the generative model and the classifier are expected to perform with unseen inputs, as this is a critical aspect of the proposal.",B_WxplDBJfc
"While the authors do address these points, I do take some issue with the following statement ""modern deep generative models and classifiers can indeed satisfy the above requirements for many practical usecases (Denton et al., 2019; Brown et al., 2020)."" There is plenty of evidence that classifiers generically are not calibrated, especially w.r.t. distribution shift.","The authors might consider strengthening their argument by addressing the existing evidence that classifiers may not be well-calibrated with respect to distribution shifts, which could affect the applicability of the proposed method in practical scenarios.",B_WxplDBJfc
Simply citing the two works above while omitting the body of literature which highlights the brittleness of both generative models and classifiers is a fairly drastic omission.,"Including a broader range of literature, particularly studies that discuss the limitations of generative models and classifiers, would provide a more balanced view and potentially strengthen the paper's contributions.",B_WxplDBJfc
"I'm not sure I agree with the fact that the full-rank properties are ""minimal assumptions"".","The characterization of the full-rank properties as ""minimal assumptions"" may warrant further justification, as much work in causal representation learning operates under different conditions.",tah6z7YJH_
If this is the case there wouldn't be much conclusion which can be drawn from the results.,"If the method is image-specific, it would be helpful to discuss how this might limit the generalizability of the conclusions.",SJek4zZ45V
Omitting such a chapter severely limits not only the reproducibility of the work but its full understanding.,Including a chapter on the genotype and its interpretation into the network phenotype would greatly enhance the reproducibility and understanding of the work.,r1xjRtB1cB
"For example, does the EA have sufficient population size to contribute significantly to the process, or is it just performing as a fancy version of Random Weight Guessing?","It would be beneficial to clarify whether the evolutionary algorithm's population size is adequate to make a significant contribution to the process, as opposed to a simpler approach like Random Weight Guessing.",r1xjRtB1cB
My final rating after rebuttal will vary wildly depending on the ability to cover such an important piece of information.,My final rating will be influenced by the inclusion of this important information in the rebuttal phase.,r1xjRtB1cB
The hyperparameters of the evolutionary algorithm look completely unoptimized.,The hyperparameters of the evolutionary algorithm appear to have room for optimization.,r1xjRtB1cB
"The ""standard neuroevolutionary algorithm"" from 2006 presented as baseline has not been state-of-the-art for over a decade.","The ""standard neuroevolutionary algorithm"" from 2006 used as a baseline may not reflect the current state-of-the-art.",r1xjRtB1cB
The fundamental claim is thereby unsustainable by current results.,The fundamental claim would benefit from additional evidence to be fully supported by the current results.,r1xjRtB1cB
it is my personal belief however that accepting this work in such a premature stage (and with an incorrect claim) could stunt further research in this direction.,I believe that further development of the work and clarification of the claims could significantly contribute to advancing research in this promising area.,r1xjRtB1cB
The exposition is filled with unnecessarily inflammatory language.,"The manuscript's tone could be more neutral, particularly in its language choices, to strengthen the academic rigor.",1C9kgdJt2JO
The contributions of this manuscript are not clear.,It would be helpful if the authors could clarify the unique contributions of this manuscript.,1C9kgdJt2JO
The authors oversimplify the aims in many of these ML works.,The manuscript might consider a more nuanced discussion of the aims in these ML works to reflect the complexity of the field.,1C9kgdJt2JO
I don't consider a call for such nomenclature to be enough of a contribution.,"While a call for standardized nomenclature is valuable, the manuscript could be strengthened by providing concrete suggestions or frameworks for such nomenclature.",1C9kgdJt2JO
"However, I doubt the novelty and effectiveness of the attention way used in the paper.","However, I would like to see further justification for the novelty and effectiveness of the attention mechanism used in the paper.",S1xtjozaYr
"But the improvements from the attention module is not significant, especially when using all base data.","I would appreciate more evidence or discussion on the impact of the attention module, particularly when all base data is used, as the improvements appear to be modest.",S1xtjozaYr
"However, unfortunately, they did not place the contribution correctly with respect to existing literature.","However, it would be beneficial if the authors could more clearly position their contribution within the context of existing literature.",BylefLP02X
The comments for prior work seem to be highly biased.,The comments on prior work could be perceived as somewhat subjective; a more balanced view would be helpful.,BylefLP02X
The paper fails to have any comparison with existing methods.,The paper would be strengthened by including comparisons with existing methods.,BylefLP02X
I think the definition also has obvious drawbacks that the authors do not discuss.,The definition could be strengthened by addressing potential drawbacks that were not discussed in the paper.,T5yH4xKy-lo
It should be noted that satisfying this requirement is very easy.,It would be beneficial to discuss the complexity of satisfying this requirement in more detail.,T5yH4xKy-lo
I am skeptical whether this comparison is fair since you are using 24 hyperparameter configurations for FT and only 4 configurations for the FE approach.,"I am curious about the fairness of the comparison given the use of 24 hyperparameter configurations for FT versus only 4 for FE, and I wonder if this might introduce a bias in the results favoring FT.",ROYppUoqt2E
I find these statements questionable and quite speculative.,"These statements appear to be based on assumptions that may not be fully supported by the data, and I would appreciate further clarification or evidence.",ROYppUoqt2E
I think in total the work leaves a lot to be desired.,"While the work presents interesting ideas, there are several areas that could be further developed and refined.",Skl3LnM_KE
The experimental setup and results section is poorly recorded with many discrepancies between what is claimed versus what is reported.,The experimental setup and results section could benefit from clearer recording to resolve discrepancies between the claims and the reported results.,BEegDAGQ1Mc
Non-existent experiments are marked by hyphens.,"It appears that some experiments are not included in Table 1, as indicated by the absence of results where one might expect hyphens.",BEegDAGQ1Mc
"However, the approach seems quite heuristic, it's unclear whether such pre-training introduces any biases (during pre-training), and generally a more thorough analysis of how the quality of the known labeled data affects model pretraining is necessary.","However, the approach appears to be somewhat heuristic. It would be beneficial to clarify whether such pre-training introduces any biases, and a more comprehensive analysis of how the quality of the known labeled data influences model pretraining would be valuable.",r1ea_iJZ9V
I think this is just a pure ML application paper.,The paper could benefit from a clearer demonstration of novelty in its ML techniques.,lBDZ95_iW59
"It was also bizarre in the results section how the baselines were dismissed in writing, their results were never presented.","It was unexpected that in the results section, the baselines were not discussed in detail and their results were not presented.",RaS8YFh7eqh
But ultimately the paper is not written in a way that can properly convey the scope of the work and narrow in on precisely the targetted problem and why it's difficult and important.,"Ultimately, the paper could benefit from a clearer presentation that more effectively conveys the scope of the work and focuses on the targeted problem, its challenges, and its importance.",RaS8YFh7eqh
"Overall I think the work is promising, but it is far too rough in its current state to be considered for acceptance without significant revision.","Overall, the work is promising and with significant revision, it could be considered for acceptance.",RaS8YFh7eqh
If this section can't be thoroughly explained it should be removed from the paper as it is at best confusing and potentially very misleading.,It would be beneficial to provide a more detailed explanation of the 'Human Studies' section. Clarifying how the tree structure is defined and how the annotations were collected could enhance the reader's understanding and ensure the section contributes effectively to the paper.,S1DRG7chm
"If this is not the case, then the problem setup is (almost) trivial.","Clarification on whether the flow field is computed between I0 and I1 or I1 and I2 would be helpful, as it has significant implications for the complexity of the problem setup.",S1DRG7chm
Design choices behind Equation 2 are not justified.,The rationale behind the design choices for Equation 2 could be further elaborated to strengthen the paper.,rx-l2yr30Zc
"""Our hypothesis is that many trained policies are needlessly complex..."" - this statement does not have any justification and without it, it is hard to agree with this statement.",It would be beneficial if the paper could provide empirical evidence or theoretical justification for the hypothesis that many trained policies are needlessly complex.,rx-l2yr30Zc
The idea is something that is already explored by other researchers to answer different or similar questions related to the pandemic forecasting,"While the idea has been previously explored in the context of pandemic forecasting, it would be beneficial to highlight how this work diverges from or builds upon existing research.",g88vOtuB8R
Corruption results not surprising.,"The results regarding corruption were somewhat expected, given the known issues with networks and aliasing artifacts.",rJxR8XGzFH
I found the results to not be compelling nor improve our understanding of the relative differences between human and machine perception.,The results could be further strengthened to enhance our understanding of the relative differences between human and machine perception.,rJxR8XGzFH
Unclear what we learn from the method.,It would be helpful to clarify the specific insights gained from the methods used in this paper.,rJxR8XGzFH
"Given the lack of benefit to analyzing the entropy, I am left to really just consider these methods to be image corruptions that downsample the resolution or desaturate the images.",It would be beneficial to discuss the advantages of analyzing entropy in more detail to distinguish these methods from standard image corruption techniques like downsampling resolution or desaturation.,rJxR8XGzFH
The idea seems promising but the authors need to improve their manuscript considerably.,"The idea is promising, and there are opportunities for the authors to strengthen their manuscript further.",4g8t-dZMv_
"The hamartia is that they used the ""search by image"" feature from Google, so that ""similar"" images were what is determined ""similar"" by a convnet.","A potential limitation is the use of the ""search by image"" feature from Google, which relies on a convnet's definition of ""similar"" images. This approach may not fully capture the real-world noise the authors aim to represent.",Hyl5XKfpKH
"However, with this flaw, it is not clear that it is enough for ICLR.","While the dataset is a valuable contribution, the concern regarding the methodology for generating 'real noise' might need to be addressed further to strengthen the submission for ICLR.",Hyl5XKfpKH
Researchers who train such generative would not apply binarization as:,Researchers who train such generative models may have reservations about applying binarization due to:,2lBrBGxZ187
final execution time does not matter.,final execution time may not be a primary concern.,2lBrBGxZ187
"As affine scaling is no longer a weight normalization, it is probably incorrect to call it that.","Considering that affine scaling differs from traditional weight normalization, it may be beneficial to reconsider the terminology used.",2lBrBGxZ187
